Направление,Наименование источника,Ссылка,Комментарии,Категория,Тип источника,Страна,Список
7.Общие,web.dev/patterns,https://web.dev/patterns,Паттерны интерфейсов и layout’ов на современных CSS-API.,Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,Really Good Emails,https://reallygoodemails.com/,"Тренды e-mail UX/UI: >12k писем, категории, «популярное сейчас».",Паттерны/флоу/мобильные,Website,Глобал,Расширенный список
7.Общие,The World Bank Data,http://data.worldbank.org,"Глобальные данные о развитии, включая демографию, экономические показатели и отраслевую статистику.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,IMF Data,http://data.imf.org,"Данные по макроэкономике и финансовым рынкам: кредитование, обменные курсы, государственные финансы.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,UNdata,http://data.un.org,"Агрегированная статистика от агентств ООН по демографии, промышленности и социальным показателям.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,OECD Data,http://data.oecd.org,Подробные данные и аналитика по развитым странам-членам ОЭСР.,Макроэкономические и демографические данные,Website,СНГ,Расширенный список
7.Общие,U.S. Census Bureau,http://data.census.gov,Основной источник демографических и экономических данных по США.,Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Data.gov,http://www.data.gov,Центральное хранилище открытых данных правительства США.,Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Census Business Builder,http://www.census.gov/data/data-tools/cbb.html,Инструмент для анализа потребительских расходов и бизнес-статистики на географическом уровне в США.,Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Bureau of Labor Statistics (BLS),http://www.bls.gov,"Данные по занятости, инфляции (CPI) и уровню заработной платы в США.",Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Bureau of Economic Analysis (BEA),http://www.bea.gov,"Официальный источник макроэкономической и отраслевой статистики США, включая ВВП.",Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Federal Reserve Economic Data (FRED),http://fred.stlouisfed.org,Агрегатор экономических временных рядов из американских и международных источников.,Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Data.gov.uk,http://www.data.gov.uk,Центральный портал открытых правительственных данных Великобритании.,Макроэкономические и демографические данные,Website,Великобритания,Расширенный список
7.Общие,UNICEF DATA,http://data.unicef.org,Глобальная база данных о положении детей и женщин.,Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,Pew Research Center,http://www.pewresearch.org,"Данные по социальным вопросам, общественному мнению и демографическим трендам в США и мире.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,UN Comtrade,https://comtrade.un.org/,Мировая торговая статистика по товарам и странам.,Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,OECD Data,https://data.oecd.org/,"Показатели развитых экономик: образование, налоги, рынки.",Макроэкономические и демографические данные,Website,ЕС,Расширенный список
7.Общие,Eurostat,https://ec.europa.eu/eurostat,"Статистика ЕС: население, цены, отрасли.",Макроэкономические и демографические данные,Website,ЕС,Расширенный список
7.Общие,WTO Statistics,https://stats.wto.org/,"Торговля товарами/услугами, тарифы, меры.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,ITU Statistics,https://www.itu.int/en/ITU-D/Statistics/,"Цифровая/телеком-статистика: доступ, скорость, цены.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,UN Population Division,https://population.un.org/dataportal/,"Население и прогнозы, возрастная структура.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,UN SDG Database,https://unstats.un.org/sdgs/dataportal/database,Индикаторы ЦУР по странам.,Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,WHO GHO,https://www.who.int/data/gho,Глобальные показатели здравоохранения.,Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,FAOSTAT,https://www.fao.org/faostat/,"Сельхозрынки, продовольствие, цены.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,IEA Data,https://www.iea.org/data-and-statistics,"Энергетика: спрос, генерация, цены.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,ILOSTAT,https://ilostat.ilo.org/,"Рынок труда: занятость, зарплаты, профессии.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,U.S. Census,https://www.census.gov/data.html,Демография и бизнес-статистика США.,Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,BEA,https://www.bea.gov/data,"ВВП США, отрасли, доходы.",Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,BLS,https://www.bls.gov/data/,"Занятость, зарплаты, инфляция США.",Макроэкономические и демографические данные,Website,США,Расширенный список
7.Общие,Бюро национальной статистики (Казахстан),https://stat.gov.kz/,"Госстатистика РК: нацсчета, отрасли, регионы; англ. версия доступна.",Нацстатслужба,Website,Казахстан,Расширенный список
7.Общие,Росстат (Россия),https://rosstat.gov.ru/,"Официальная служба статистики РФ: макро, демография, цены, отрасли, публикации.",Нацстатслужба,Website,Россия,Расширенный список
7.Общие,Belstat Нацстаткомитет (Беларусь),https://www.belstat.gov.by/,"Официальная статистика РБ: базы данных, бюллетени, календарь публикаций.",Нацстатслужба,Website,Беларусь,Расширенный список
7.Общие,Нацстатком Кыргызстана,https://www.stat.gov.kg/,"Портал статистики КР: основные индикаторы, открытые данные.",Нацстатслужба,Website,Киргизия,Расширенный список
7.Общие,Агентство по статистике при Президенте РТ (Таджикистан),https://www.stat.tj/,"Официальные отчёты, ежемесячные обзоры соц-экон. ситуации.",Нацстатслужба,Website,Таджикистан,Расширенный список
7.Общие,Комитет (Агентство) по статистике Узбекистана,https://stat.uz/,Официальная статистика РУз; действует обновлённый портал/кабинеты hisobot.gov.uz.,Нацстатслужба,Website,Узбекистан,Расширенный список
7.Общие,Статкомитет Армении,https://armstat.am/,"Официальные разделы по нацсчетам, ценам, демографии; годовые сборники.",Нацстатслужба,Website,Армения,Расширенный список
7.Общие,Госкомстат Азербайджана,https://www.stat.gov.az/,"Официальная статистика Азербайджана; карты, сборники, бюллетени.",Нацстатслужба,Website,Азербайджан,Расширенный список
7.Общие,Нацбюро статистики Молдовы,https://statistica.gov.md/,Официальные данные и годовые сборники; релиз-календарь.,Нацстатслужба,Website,Молдова,Расширенный список
7.Общие,Держстат 02,https://www.ukrstat.gov.ua/,Официальный сайт службы статистики; новый портал (бета): https://stat.gov.ua/.,Нацстатслужба,Website,Украина,Расширенный список
7.Общие,Госкомстат Туркменистана,https://www.stat.gov.tm/,"Официальная статистика Туркменистана; публикации, формы отчётности.",Нацстатслужба,Website,Туркменистан,Расширенный список
7.Общие,Справочник CISSTAT: службы стран СНГ,https://new.cisstat.org/web/eng,Сводные ссылки и сравнимые показатели по странам СНГ.,Нацстатслужба,Website,СНГ,Расширенный список
7.Общие,McKinsey,https://www.mckinsey.com/,Отчеты по отраслям от стратегического консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,Bain,https://www.bain.com/,Отчеты по отраслям от стратегического консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,BCG,https://www.bcg.com/,Отчеты по отраслям от стратегического консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,Deloitte,https://www.deloitte.com/global/en.html,Отчеты по отраслям от большой четверки консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,PWC,https://www.pwc.com/gx/en.html,Отчеты по отраслям от большой четверки консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,EY,https://www.ey.com/en_gl,Отчеты по отраслям от большой четверки консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,KPMG,https://kpmg.com/xx/en.html,Отчеты по отраслям от большой четверки консалтинга,Консалтинговые отчеты,Website,Глобал,Расширенный список
7.Общие,Metroverse,https://metroverse.hks.harvard.edu/,Какова структура экономики моего города? Как мой город соотносится с городами по всему миру? Какие города больше всего похожи на мой? Какие технологические возможности лежат в основе нынешней экономики моего города? Какие пути роста и диверсификации это открывает в будущем?,Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,The Atlas of Economic Complexity,https://atlas.hks.harvard.edu/countries/643/paths,"Исследовать глобальные торговые потоки на рынках, отслеживать их динамику и открывать новые возможности для роста для каждой страны.",Макроэкономические и демографические данные,Website,Глобал,Расширенный список
7.Общие,Economist,economist.kg,"Новостное/аналитическое онлайн-издание: лента новостей, аналитические материалы, интервью, «мнение», «новости компаний».
Фокус: финансово-экономические события в Кыргызстане",Отраслевой агрегатор новостей и аналитики,Website,Киргизия,Расширенный список
1.Маркетинг и реклама,Узбекский Ритейл,https://t.me/uzbekretail,URetail — бизнес ресурс о ритейле и розничных сетях Узбекистана,Отраслевой агрегатор новостей и аналитики,Telegram,Узбекистан,Рекомендованный список
